iter	Passed	Remaining
0	45930	6843712
1	85885	6355520
2	123950	6073577
3	166004	6059166
4	205057	5946677
5	244304	5863313
6	286239	5847456
7	329028	5840250
8	369996	5796618
9	407711	5707955
10	445441	5628765
11	479758	5517223
12	513732	5413953
13	548766	5330875
14	583548	5251937
15	619388	5187376
16	652047	5101312
17	687458	5041359
18	720725	4969215
19	757286	4922362
20	792812	4870136
21	824955	4799742
22	858694	4741489
23	895107	4699313
24	932994	4664970
25	970619	4629110
26	1010250	4602252227	1053632	4590825228	1091614	4554665229	1128714	4514859330	1165426	4473734331	1202901	4435700332	1238056	4389471333	1271538	4338190334	1305469	4289399335	1339649	4242223336	1374748	4198557337	1408467	4151271338	1441799	4103584339	1476398	4060096440	1511921	4019499441	1546484	3976673442	1579532	3930465443	1614948	3890557444	1649954	3849892445	1685482	3810656446	1719239	3767694447	1754324	3727940448	1788309	3686107449	1824194	3648389550	1861611	3613717551	1895412	3572122552	1930206	3532641553	1965021	3493372554	2000863	3456036555	2035859	3417335556	2070917	3378866557	2107133	3342349558	2142206	3304081559	2178488	3267732660	2214924	3231611661	2249552	3192913662	2284348	3154576663	2320361	3117985664	2353556	3077727665	2388211	3039542666	2424362	3003315667	2459397	2965743668	2495084	2929012669	2529375	2890715770	2563230	2852045771	2599304	2815913772	2634725	2779094773	2669496	2741645774	2703994	2703994775	2737245	2665212776	2770477	2626556777	2806379	2590504778	2841906	2554118779	2878703	2518865880	2913176	2481594881	2945444	2442563882	2981555	2406797883	3016784	2370330884	3050750	2332926885	3086766	2297128886	3120832	2259913887	3154408	2222424888	3188349	2185273889	3221603	2147735990	3258111	2112401991	3291668	2075182992	3327214	2039260993	3362302	2003073994	3396255	1966253995	3429215	1928933996	3463995	1892698997	3498865	1856540998	3532329	1819684999	3566614	17833071100	3601744	17473811101	3635798	17109631102	3670201	16747521103	3703017	16378731104	3737546	16018051105	3771896	15656921106	3805698	15293921107	3840035	14933461108	3875131	14576181109	3911397	14223261110	3944831	13860211111	3979918	13503291112	4014647	13145301113	4049529	12787981114	4082467	12424901115	4116909	12066801116	4152243	11711451117	4186193	11352381118	4222051	10998621119	4256213	10640531120	4292902	10288771121	4326878	9930541122	4360985	9572891123	4395497	9216361124	4429894	8859781125	4463866	8502601126	4499805	8149251127	4534578	7793801128	4570030	7439581129	4602701	7081071130	4638291	6727291131	4672853	6372071132	4708495	6018371133	4743718	5664141134	4778682	5309641135	4813637	4955211136	4847448	4599761137	4882027	4245241138	4916068	3890411139	4950532	3536091140	4985179	3182021141	5019303	2827771142	5056007	2474961143	5090476	2121031144	5119055	1765191145	5148348	1410501146	5174358	1055991147	5191760	701581148	5203597	349231149	5212360	0
